sample_id,category,status,runtime_seconds,risk_level,risk_score,model_label,active_extractor_features,ml_selected_features,ml_zero_features,llm_context_schema_fields,active_context_codes,generated_case_brief,reference_brief,context_feature_recall,context_feature_precision,numeric_feature_recall,numeric_feature_precision,amount_recall,amount_precision,amount_exact_match,entity_recall,entity_precision,critical_fact_recall,contradiction_count,hallucination_count,fact_precision,amount_preservation,semantic_similarity,embedding_model,missing_critical_facts,contradicted_forbidden_facts,hallucinated_context_codes,unsupported_amounts_krw
S01,검찰 사칭·송금·고립,OK,15.351419,NORMAL,87.20581535643717,NORMAL,7,23,20,12,7,검찰 사칭 사건. 범죄 관련된다며 민감 정보를 요구하고 계좌 이체를 요청함. 긴급함과 고립감을 느끼게 하려는 전술 사용.,"검찰 수사관을 사칭해 계좌의 범죄 연루와 검증 필요성을 주장하며, 오늘 안에 안전계좌 이체를 요구하고 가족·은행과의 접촉 및 통화 종료를 막은 정황입니다.",0.5454545454545454,0.8571428571428571,0.25,0.6666666666666666,1.0,1.0,True,1.0,1.0,0.5,0,1,0.875,True,0.5803776980268354,text-embedding-3-small,오늘 또는 즉시 처리 | 가족·은행에 알리지 말라는 고립 | 통화 유지 요구,,REQUEST_AUTH_INFO,
S02,카드사 사칭·OTP·환불 송금,OK,11.08861,HIGH,95.3573218150311,PHISHING,17,23,15,12,6,"이 사건은 카드 회사의 사칭 신호와 함께 민감한 개인정보 요구 및 긴급 처리 압박이 확인되었습니다. 헷갈리게 하는 행동 요청이 여러 번 이루어졌으며, 부당한 결제가 주장되고 있습니다. 이 사건은 금융 기관이 연루된 사기 가능성이 있습니다.","카드사 보안센터를 사칭해 해외 결제를 주장하고 인증번호와 환불 명목 송금을 요구했으며, 은행 확인을 막고 통화를 유지하도록 압박한 정황입니다.",0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,1.0,1.0,True,0.0,0.0,0.5,0,4,0.42857142857142855,True,0.5806849869587859,text-embedding-3-small,환불 명목 송금 요구 | 은행 문의 차단 | 통화 유지,,CLAIM_CRIME_INVOLVEMENT | CUSTOMER_INSTALLED_APP | REQUEST_INSTALL_APP | REQUEST_PERSONAL_INFO,
S03,정상 카드 분실 상담,OK,11.663231,HIGH,99.00833428038685,PHISHING,16,23,17,12,3,"해당 사건은 카드 관련 문제를 주장하는 것으로, 주요 요청은 기기 고장과 비인가 결제에 대한 것입니다. 여러 차례 정상 카드 상담 요청이 들어왔으나, 비인가 결제 주장으로 인해 신뢰성 문제가 발생하였습니다.","체크카드 분실에 따른 사용 정지, 거래 이의 신청과 재발급을 공식 앱으로 확인하는 정상 카드 상담입니다.",1.0,0.3333333333333333,0.0,0.0,1.0,1.0,True,1.0,1.0,0.0,0,3,0.25,True,0.5328527376130362,text-embedding-3-small,정상 카드 분실 상담 | 공식 앱 확인,,CLAIM_CRIME_INVOLVEMENT | CLAIM_DEVICE_BROKEN | CLAIM_UNAUTHORIZED_PAYMENT,
S04,정상 주택담보대출 상담,OK,10.906879,HIGH,98.64278239023665,PHISHING,11,23,18,12,1,금융 기관을 사칭하는 사건이 발생했습니다. 여러 차례의 고위험 요청이 있었습니다. 다양한 용도로 정상적인 일상 통화가 요청되었습니다.,"공식 앱과 영업점 방문을 통해 주택담보대출 금리, 한도와 필요 서류를 확인하는 정상 금융 상담입니다.",0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.0,1,3,0.0,True,0.38362102326375586,text-embedding-3-small,정상 대출 상담 | 공식 앱 | 영업점 방문,기관 사칭,CLAIM_CRIME_INVOLVEMENT | NORMAL_DAILY_CALL | REQUEST_KEEP_CALL,
S05,정상 자동이체 변경,OK,11.552901,NORMAL,68.82526978283987,NORMAL,5,23,20,12,2,"이 사건은 여러 번의 자금 이체 요청이 있었고, 일상적인 통화라고 주장했으나 사칭 가능성이 있는 신호가 발견되었습니다.",통신비 자동이체일을 변경하고 처리 결과를 은행 앱으로 안내받는 정상 금융 상담입니다.,0.0,0.0,0.0,0.0,1.0,1.0,True,1.0,1.0,0.5,2,4,0.0,True,0.4417590287799847,text-embedding-3-small,은행 앱 알림,범죄 연루 | 사기 송금,CLAIM_CRIME_INVOLVEMENT | NORMAL_DAILY_CALL | REQUEST_KEEP_CALL | REQUEST_TRANSFER,
S06,가족 사칭·긴급 송금,OK,9.916429,HIGH,99.10760066823578,PHISHING,11,23,20,12,3,"가족을 사칭하는 신호가 감지되었으며, 1,200,000원이 송금 요청되었습니다. 또한, 주변 알림 제한이 언급되었습니다.",가족을 사칭해 휴대폰 고장을 주장하고 병원비 명목으로 120만원을 즉시 송금하라고 요구한 정황입니다.,0.2,0.3333333333333333,0.375,0.75,1.0,1.0,True,0.0,0.0,0.5,0,4,0.42857142857142855,True,0.5630823514423687,text-embedding-3-small,120만원 송금 요구 | 긴급성,,CLAIM_CRIME_INVOLVEMENT | CLAIM_LOAN_APPROVAL | PURPOSE_LOAN_REPAYMENT | REQUEST_KEEP_CALL,
S07,고객지원 사칭·원격제어 앱,OK,10.651558,HIGH,99.9761280586745,PHISHING,9,23,18,12,4,"이 사건은 지원 역할을 주장하는 자가 기기를 고장났다고 주장하며, 긴급성을 내세워 앱 설치를 요청한 경우입니다.","고객지원팀을 사칭해 휴대폰 보안 문제를 주장하며 원격 지원 앱 설치와 화면 공유, 통화 유지를 요구한 정황입니다.",0.6666666666666666,0.5,0.0,0.0,1.0,1.0,True,1.0,1.0,0.25,0,4,0.2,True,0.5552169839553676,text-embedding-3-small,고객지원 사칭 | 화면 공유 | 통화 유지,,CLAIM_CRIME_INVOLVEMENT | CLAIM_DEVICE_BROKEN | CUSTOMER_INSTALLED_APP | TACTIC_URGENCY,
S08,경찰 사칭·현금 전달,OK,10.763925,HIGH,99.94277767132219,PHISHING,13,23,17,12,4,"사기 사건으로 의심되는 상황이 발생했습니다. 피해자는 경찰 기관 사칭을 당하고, 범죄 관련 연루를 주장하며 500만 원의 이체를 요청했습니다. 하지만 긴급성을 조성하는 등의 심리적 압박을 존재하지 않는 것으로 확인되었습니다.",경찰을 사칭해 대포통장 사건 연루를 주장하고 체포를 위협하며 오늘 안에 현금 500만원을 인출해 전달하라고 요구한 정황입니다.,0.6,0.75,0.3,0.5,1.0,1.0,True,1.0,1.0,0.4,0,2,0.6,False,0.5113518617703428,text-embedding-3-small,현금 500만원 인출·전달 요구 | 체포 위협 | 오늘 기한,,CUSTOMER_NOT_TRANSFERRED | REQUEST_TRANSFER,
S09,대출업체 사칭·상환 요구,OK,8.568451,HIGH,98.64278239023665,PHISHING,11,23,18,12,3,"이 사건은 금융 기관을 사칭한 대출 승인을 요구하는 신호가 발견되었으며, 대출 상환을 위한 자금 이체 요청이 있었습니다. 요청은 오늘 마감 기한이 있어 높은 위험도가 나타납니다.","대출업체를 사칭해 저금리 대환대출 승인을 주장하고, 실행 조건으로 오늘까지 800만원의 기존 대출금 상환을 요구한 정황입니다.",0.6,1.0,0.3333333333333333,0.75,1.0,1.0,True,1.0,1.0,0.8,0,2,0.6666666666666666,False,0.6368519198858048,text-embedding-3-small,800만원,,CLAIM_CRIME_INVOLVEMENT | DEADLINE_IMMEDIATE,
S10,은행 사칭·계좌 검증·개인정보,OK,8.723764,NORMAL,4.311803594523293,NORMAL,7,23,19,12,3,이 사건은 금융기관 사칭 및 민감 정보 요구 관련된 심각한 사기 가능성을 나타내고 있습니다. 요구된 행동은 계좌 검증이며 긴급함을 강조한 조작 전술이 사용되었습니다.,은행 이상거래 탐지팀을 사칭해 계좌 검증을 주장하며 주민등록번호와 계좌번호를 즉시 요구하고 거래 정지를 경고한 정황입니다.,0.5,1.0,0.42857142857142855,1.0,1.0,1.0,True,1.0,1.0,0.2,0,1,0.5,True,0.49705817306793953,text-embedding-3-small,은행 사칭 | 주민등록번호·계좌번호 요구 | 거래 정지 위협 | 즉시 요구,,CLAIM_CRIME_INVOLVEMENT,
